song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside
Seven (feat. Latto) (Alesso Remix),2024-09-07,24.0,Jung Kook & Latto,72.0,3,2024-09-05,46.0,1
Sweet Night,2024-09-07,47.0,V,80.0,3,2024-09-05,49.0,1
Better Things,2024-09-09,50.0,aespa,81.0,2,2024-09-06,50.0,2
Sugarcoat (NATTY Solo),2024-09-09,49.0,KISS OF LIFE,74.0,3,2024-09-06,47.0,2
"Steal The Show - From ""Elemental""",2024-09-09,44.0,Lauv,77.0,2,2024-09-06,48.0,2
"Our Blues, Our Life",2024-09-10,37.0,Lim Young Woong,59.0,7,2024-09-06,49.0,3
A bientot,2024-09-10,44.0,Lim Young Woong,57.0,12,2024-09-04,46.0,5
Rainbow,2024-09-10,36.0,Lim Young Woong,59.0,6,2024-09-08,49.0,1
Fry’s Dream,2024-09-12,39.0,AKMU,61.0,3,2024-09-09,43.0,2
Click Like (Prod. Crush) (Feat. Paul Blanco),2024-09-13,48.0,Various Artists,66.0,2,2024-09-09,41.0,3
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-09-13,49.0,Halsey & SUGA,78.0,7,2024-09-02,48.0,10
Sugarcoat (NATTY Solo),2024-09-13,46.0,KISS OF LIFE,74.0,4,2024-09-09,49.0,3
Let's Say Goodbye,2024-09-14,46.0,Parc Jae Jung,55.0,3,2024-09-12,48.0,1
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2024-09-14,35.0,Fast & Furious: The Fast Saga & Jimin & BTS,70.0,2,2024-06-04,43.0,101
Interlude : Dive,2024-09-14,26.0,Jimin,77.0,4,2024-09-12,32.0,1
Spicy,2024-09-15,46.0,aespa,80.0,2,2024-09-12,50.0,2
Attention,2024-09-15,48.0,NewJeans,83.0,4,2024-09-04,49.0,10
Slow Dancing,2024-09-17,6.0,V,91.0,2,2024-09-14,5.0,2
Memories,2024-09-18,47.0,RIIZE,73.0,3,2024-09-16,41.0,1
Christmas Tree,2024-09-18,44.0,V,81.0,2,2024-09-09,32.0,8
A bientot,2024-09-19,50.0,Lim Young Woong,57.0,13,2024-09-14,48.0,4
アイドル,2024-09-22,48.0,YOASOBI,86.0,3,2024-09-03,45.0,18
Vancouver,2024-09-22,50.0,BIG Naughty,56.0,3,2024-06-13,50.0,100
A bientot,2024-09-23,49.0,Lim Young Woong,57.0,14,2024-09-21,50.0,1
Sunflower - Spider-Man: Into the Spider-Verse,2024-09-24,47.0,Post Malone,85.0,6,2024-07-22,47.0,63
Queencard,2024-09-24,50.0,(G)I-DLE,85.0,2,2024-09-11,43.0,12
Memories,2024-09-25,50.0,RIIZE,73.0,4,2024-09-23,47.0,1
I Love You,2024-09-25,48.0,Lim Young Woong,55.0,6,2024-06-14,50.0,102
But Sometimes,2024-09-27,49.0,BOYNEXTDOOR,70.0,2,2024-09-23,39.0,3
Baggy Jeans,2024-09-28,50.0,NCT,64.0,2,2024-09-21,46.0,6
Attention,2024-09-28,49.0,NewJeans,81.0,5,2024-09-26,49.0,1
Interlude : Dive,2024-09-29,35.0,Jimin,76.0,5,2024-09-27,45.0,1
Queencard,2024-09-29,49.0,(G)I-DLE,85.0,3,2024-09-24,50.0,4
"Our Blues, Our Life",2024-09-29,47.0,Lim Young Woong,58.0,8,2024-09-27,41.0,1
A bientot,2024-09-30,50.0,Lim Young Woong,57.0,15,2024-09-27,48.0,2
My You,2024-09-30,47.0,Jung Kook,79.0,7,2024-08-11,47.0,49
Better Things,2024-10-02,50.0,aespa,80.0,3,2024-09-16,50.0,15
Memories,2024-10-02,47.0,RIIZE,74.0,5,2024-09-28,44.0,3
Love Always Run Away,2024-10-02,48.0,Lim Young Woong,57.0,11,2024-08-11,50.0,51
Cruel Summer,2024-10-04,46.0,Taylor Swift,98.0,3,2024-09-29,44.0,4
Interlude : Dive,2024-10-06,37.0,Jimin,77.0,6,2024-09-29,35.0,6
アイドル,2024-10-06,44.0,YOASOBI,30.0,4,2024-10-01,45.0,4
"Our Blues, Our Life",2024-10-07,49.0,Lim Young Woong,58.0,9,2024-10-05,45.0,1
A bientot,2024-10-09,48.0,Lim Young Woong,57.0,16,2024-10-05,47.0,3
3D (feat. Jack Harlow) (Instrumental),2024-10-09,50.0,Jung Kook & Jack Harlow,60.0,2,2024-10-05,28.0,3
greedy,2024-10-10,50.0,Tate McRae,96.0,2,2024-10-08,48.0,1
You & Me (Coachella ver.),2024-10-10,16.0,JENNIE,74.0,2,2024-10-07,4.0,2
Interlude : Dive,2024-10-12,39.0,Jimin,77.0,7,2024-10-09,45.0,2
A bientot,2024-10-13,45.0,Lim Young Woong,57.0,17,2024-10-09,48.0,3
"Our Blues, Our Life",2024-10-13,39.0,Lim Young Woong,58.0,10,2024-10-09,46.0,3
Interlude : Dive,2024-10-14,46.0,Jimin,77.0,8,2024-10-12,39.0,1
Love Always Run Away,2024-10-14,49.0,Lim Young Woong,57.0,12,2024-10-03,48.0,10
Haegeum,2024-10-16,47.0,Agust D,84.0,4,2024-10-12,50.0,3
A Psalm of Life,2024-10-16,50.0,Lim Young Woong,57.0,2,2024-06-06,50.0,131
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2024-10-16,38.0,Jung Kook & BTS,82.0,2,2024-10-13,48.0,2
Interlude : Dive,2024-10-17,42.0,Jimin,78.0,9,2024-10-15,46.0,1
I Love You,2024-10-17,49.0,Lim Young Woong,56.0,7,2024-09-26,48.0,20
A Psalm of Life,2024-10-19,49.0,Lim Young Woong,57.0,3,2024-10-16,50.0,2
Fact Check,2024-10-19,50.0,NCT 127,74.0,2,2024-10-13,44.0,5
Cool With You,2024-10-19,48.0,NewJeans,85.0,2,2024-10-15,50.0,3
Haegeum,2024-10-20,49.0,Agust D,84.0,5,2024-10-16,47.0,3
Cruel Summer,2024-10-20,45.0,Taylor Swift,99.0,4,2024-10-08,50.0,11
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2024-10-20,42.0,Jung Kook & BTS,82.0,3,2024-10-18,31.0,1
Love Always Run Away,2024-10-21,47.0,Lim Young Woong,58.0,13,2024-10-15,49.0,5
A Psalm of Life,2024-10-21,45.0,Lim Young Woong,57.0,4,2024-10-19,49.0,1
Interlude : Dive,2024-10-22,35.0,Jimin,79.0,10,2024-10-20,31.0,1
I Love You,2024-10-22,45.0,Lim Young Woong,57.0,8,2024-10-18,49.0,3
Hype Boy,2024-10-22,50.0,NewJeans,85.0,2,2024-10-20,48.0,1
Lovely Touch,2024-10-22,49.0,Lim Young Woong,56.0,4,2024-06-06,48.0,137
Still With You,2024-10-23,44.0,Jung Kook,84.0,2,2024-10-20,37.0,2
Haegeum,2024-10-23,45.0,Agust D,84.0,6,2024-10-21,50.0,1
Cruel Summer,2024-10-24,50.0,Taylor Swift,100.0,5,2024-10-21,46.0,2
VIBE (feat. Jimin of BTS),2024-10-26,50.0,TAEYANG,71.0,5,2024-07-20,49.0,97
Left and Right (Feat. Jung Kook of BTS),2024-10-26,30.0,Charlie Puth,83.0,2,2024-10-23,32.0,2
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2024-10-26,33.0,Jung Kook & BTS,82.0,4,2024-10-22,47.0,3
HERO,2024-10-27,49.0,Lim Young Woong,56.0,2,2024-10-23,50.0,3
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2024-10-27,50.0,Fast & Furious: The Fast Saga & Jimin & BTS,71.0,3,2024-09-16,49.0,40
VIBE (feat. Jimin of BTS),2024-10-29,43.0,TAEYANG,71.0,6,2024-10-26,50.0,2
Father,2024-10-30,47.0,Lim Young Woong,57.0,2,2024-10-26,47.0,3
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2024-10-31,46.0,Fast & Furious: The Fast Saga & Jimin & BTS,71.0,4,2024-10-28,50.0,2
Father,2024-11-01,43.0,Lim Young Woong,57.0,3,2024-10-30,47.0,1
VIBE (feat. Jimin of BTS),2024-11-02,48.0,TAEYANG,71.0,7,2024-10-29,43.0,3
New Jeans,2024-11-03,48.0,NewJeans,84.0,2,2024-10-29,49.0,4
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2024-11-03,44.0,Fast & Furious: The Fast Saga & Jimin & BTS,69.0,4,2024-08-24,50.0,70
Somebody,2024-11-04,12.0,Jung Kook,0.0,2,2024-10-06,47.0,28
VIBE (feat. Jimin of BTS),2024-11-04,45.0,TAEYANG,71.0,8,2024-11-02,48.0,1
HERO,2024-11-05,48.0,Lim Young Woong,57.0,3,2024-11-03,45.0,1
Christmas Love,2024-11-05,28.0,Jimin,69.0,3,2024-06-22,48.0,135
Talk Saxy,2024-11-07,50.0,RIIZE,67.0,2,2024-11-04,40.0,2
Take Two,2024-11-07,49.0,BTS,85.0,2,2024-11-01,45.0,5
Christmas Love,2024-11-08,50.0,Jimin,69.0,4,2024-11-06,28.0,1
Ditto,2024-11-08,43.0,NewJeans,85.0,2,2024-11-03,49.0,4
Love Letter,2024-11-09,49.0,Lim Young Woong,57.0,2,2024-11-02,50.0,6
Christmas Love,2024-11-10,46.0,Jimin,69.0,5,2024-11-08,50.0,1
Love Lee,2024-11-12,50.0,AKMU,81.0,2,2024-11-10,48.0,1
Elevator,2024-11-18,49.0,Lim Young Woong,55.0,2,2024-11-16,50.0,1
Christmas Love,2024-11-18,48.0,Jimin,69.0,6,2024-11-11,33.0,6
Loving You,2024-11-19,47.0,Lim Young Woong,56.0,2,2024-11-17,47.0,1
Love Station,2024-11-20,50.0,Lim Young Woong,56.0,2,2024-11-17,50.0,2
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2024-11-20,28.0,Jung Kook & BTS,80.0,5,2024-10-30,30.0,20
Ditto,2024-11-21,47.0,NewJeans,84.0,3,2024-11-19,49.0,1
You & Me,2024-11-21,48.0,JENNIE,83.0,2,2024-11-19,50.0,1
Elevator,2024-11-22,50.0,Lim Young Woong,56.0,3,2024-11-20,49.0,1
Christmas Love,2024-11-22,49.0,Jimin,69.0,7,2024-11-18,48.0,3
Ditto,2024-11-23,50.0,NewJeans,84.0,4,2024-11-21,47.0,1
ETA,2024-11-23,48.0,NewJeans,85.0,2,2024-11-14,49.0,8
