song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside,peak_rank,run_days,rank_jump_magnitude,peak_popularity,popularity_change,peak_date,days_to_peak,rank_jump_score,popularity_change_score,recovery_speed_score,momentum_spike_score,album_type,is_explicit,duration_minutes,total_tracks,first_entry_date,first_entry_position,reentry_frequency,fandom_intensity_proxy_score,post_comeback_retention_days
The Planet,2024-06-22,42.0,BTS,88.0,2,2024-06-20,46.0,1,42.0,3,0.0,88.0,0.0,2024-06-22,0,0.0,0.0,100.0,20.0,single,False,2.97,1,2024-05-18,19.0,3,34.72,3
A bientot,2024-06-22,46.0,Lim Young Woong,58.0,3,2024-06-20,48.0,1,39.0,13,7.0,58.0,0.0,2024-06-24,2,17.073170731707318,0.0,98.1818181818182,28.17,album,False,4.27,12,2024-05-18,41.0,22,67.59,13
FLOWER,2024-06-23,48.0,JISOO,85.0,2,2024-06-21,49.0,1,37.0,5,11.0,85.0,0.0,2024-06-25,2,26.82926829268293,0.0,98.1818181818182,33.05,single,False,2.89,2,2024-05-18,20.0,3,42.54,5
Kill Bill,2024-06-23,47.0,SZA,94.0,4,2024-06-19,47.0,3,42.0,12,5.0,94.0,0.0,2024-07-02,9,12.195121951219512,0.0,91.81818181818184,24.46,album,False,2.57,23,2024-05-18,45.0,3,35.5,12
I Don’t Think That I Like Her,2024-06-25,48.0,Charlie Puth,73.0,4,2024-06-20,49.0,4,48.0,2,0.0,73.0,0.0,2024-06-25,0,0.0,0.0,100.0,20.0,album,False,3.14,12,2024-05-29,47.0,4,36.2,2
Like Crazy (UK Garage Remix),2024-06-27,46.0,Jimin,71.0,8,2024-06-24,49.0,2,40.0,5,6.0,71.0,0.0,2024-06-28,1,14.634146341463412,0.0,99.0909090909091,27.14,single,False,3.51,5,2024-05-19,49.0,8,46.43,5
Like Crazy (Deep House Remix),2024-06-27,45.0,Jimin,71.0,8,2024-06-24,47.0,2,38.0,5,7.0,71.0,0.0,2024-06-28,1,17.073170731707318,0.0,99.0909090909091,28.35,single,False,3.01,5,2024-05-19,47.0,9,48.68,5
Promise,2024-06-28,42.0,Jimin,77.0,7,2024-06-26,45.0,1,41.0,4,1.0,77.0,0.0,2024-07-01,3,2.4390243902439024,0.0,97.27272727272728,20.67,single,False,2.52,1,2024-05-18,48.0,9,43.35,4
With you,2024-06-28,43.0,Jimin & HA SUNG WOON,76.0,3,2024-06-24,43.0,3,43.0,1,0.0,76.0,0.0,2024-06-28,0,0.0,0.0,100.0,20.0,single,False,3.37,2,2024-05-20,50.0,4,36.2,1
FLOWER,2024-06-29,44.0,JISOO,85.0,3,2024-06-27,40.0,1,44.0,2,0.0,85.0,0.0,2024-06-29,0,0.0,0.0,100.0,20.0,single,False,2.89,2,2024-05-18,20.0,3,34.72,2
I Don’t Think That I Like Her,2024-07-01,50.0,Charlie Puth,74.0,5,2024-06-26,48.0,4,50.0,1,0.0,74.0,0.0,2024-07-01,0,0.0,0.0,100.0,20.0,album,False,3.14,12,2024-05-29,47.0,4,36.2,1
Dangerously,2024-07-01,44.0,Charlie Puth,65.0,5,2024-06-20,50.0,10,44.0,1,0.0,65.0,0.0,2024-07-01,0,0.0,0.0,100.0,20.0,album,False,3.32,14,2024-05-18,43.0,4,36.2,1
People Pt.2 (feat. IU),2024-07-02,35.0,Agust D,78.0,3,2024-06-07,45.0,24,14.0,126,21.0,78.0,0.0,2024-08-11,40,51.21951219512195,0.0,63.63636363636363,38.34,album,False,3.57,10,2024-05-18,38.0,2,35.78,126
The Planet,2024-07-02,44.0,BTS,87.0,3,2024-06-24,48.0,7,43.0,3,1.0,87.0,0.0,2024-07-03,1,2.4390243902439024,0.0,99.0909090909091,21.04,single,False,2.97,1,2024-05-18,19.0,3,35.15,3
Promise,2024-07-03,47.0,Jimin,77.0,8,2024-07-01,41.0,1,47.0,2,0.0,77.0,0.0,2024-07-03,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,2
Like Crazy (UK Garage Remix),2024-07-03,50.0,Jimin,71.0,9,2024-07-01,42.0,1,50.0,1,0.0,71.0,0.0,2024-07-03,0,0.0,0.0,100.0,20.0,single,False,3.51,5,2024-05-19,49.0,8,42.13,1
Like Crazy (Deep House Remix),2024-07-03,49.0,Jimin,71.0,9,2024-07-01,39.0,1,49.0,1,0.0,71.0,0.0,2024-07-03,0,0.0,0.0,100.0,20.0,single,False,3.01,5,2024-05-19,47.0,9,43.61,1
Thirsty,2024-07-04,50.0,aespa,77.0,2,2024-07-02,49.0,1,50.0,1,0.0,77.0,0.0,2024-07-04,0,0.0,0.0,100.0,20.0,single,False,3.22,6,2024-05-18,24.0,1,31.76,1
Dare to Love (feat. BIG Naughty),2024-07-04,48.0,B.I,64.0,2,2024-07-01,48.0,2,48.0,1,0.0,64.0,0.0,2024-07-04,0,0.0,0.0,100.0,20.0,album,False,2.93,15,2024-06-25,49.0,1,31.76,1
